Player Name,Market Value (m€),Fee (m€),Position
Will Hughes,8.0,9.1,Central Midfield
Tom Ince,7.0,9.1,Right Winger
Aaron Mooy,5.0,9.1,Central Midfield
Jack Cork,5.0,9.1,Defensive Midfield
Jonathas,7.0,9.0,Centre-Forward
Emiliano Rigoni,7.0,9.0,Right Winger
Andrew Robertson,7.0,9.0,Left-Back
Jairo Riedewald,5.0,9.0,Defensive Midfield
Thiago Mendes,4.0,9.0,Defensive Midfield
Kévin Malcuit,3.0,9.0,Right-Back
Nicola Murru,2.5,9.0,Left-Back
Huan Liu,0.2,8.9,Left-Back
Guido Pizarro,5.0,8.7,Defensive Midfield
Renato Sanches,22.0,,Central Midfield
Adnan Januzaj,7.0,8.5,Right Winger
Matías Kranevitter,6.0,8.5,Defensive Midfield
Milot Rashica,5.0,8.1,Right Winger
Serge Gnabry,15.0,8.0,Right Winger
Valère Germain,10.0,8.0,Centre-Forward
Maicon,8.0,8.0,Centre-Back
Juan Jesus,7.5,8.0,Centre-Back
Sofiane Hanni,7.0,8.0,Attacking Midfield
Soualiho Meïté,7.0,8.0,Central Midfield
Henry Onyekuru,7.0,8.0,Left Winger
Davie Selke,6.0,8.0,Centre-Forward
Vitor Hugo,6.0,8.0,Centre-Back
Nicolas de Préville,5.5,8.0,Centre-Forward
Gustavo Bou,5.5,8.0,Centre-Forward
Håvard Nordtveit,5.0,8.0,Centre-Back
Mariano Díaz,5.0,8.0,Centre-Forward
Miha Mevlja,4.0,8.0,Centre-Back
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
Badou Ndiaye,5.0,7.5,Central Midfield
Sone Aluko,2.5,7.5,Right Winger
Maximilian Wöber,0.7,7.5,Centre-Back
Pedro Neto,0.25,,Right Winger
Filippo Romagna,1.0,7.4,Centre-Back
Ashley Fletcher,1.0,7.3,Centre-Forward
Ollie Watkins,0.15,7.22,Centre-Forward
Yuning Zhang,0.7,7.2,Centre-Forward
Avilés Hurtado,2.5,7.13,Right Winger
Éver Banega,16.0,7.0,Central Midfield
Nolito,12.0,7.0,Left Winger
Ryad Boudebouz,10.0,7.0,Attacking Midfield
Giuliano,9.0,7.0,Central Midfield
Admir Mehmedi,3.5,8.0,Second Striker
Wanderson,2.75,8.0,Left Winger
Amine Harit,2.0,8.0,Attacking Midfield
Rafik Guitane,0.15,8.0,Right Winger
Kurt Zouma,15.0,,Centre-Back
Lyanco,0.75,7.75,Centre-Back
Bruno Martins Indi,11.0,7.7,Centre-Back
Kieran Gibbs,10.0,7.5,Left-Back
Jonathan Cafu,10.0,7.5,Right Winger
Wendel,7.5,7.5,Central Midfield
Marcelo,6.5,7.5,Centre-Back
Christian Atsu,5.0,7.5,Left Winger
