Player Name,Market Value (m€),Fee (m€),Position,Matched_Name,Similarity_Score,Player_Id,Full_Name,Air_Duels_Won,Interceptions,Clearances,Turnovers,Loose_Ball_Duels_Won,Defensive_Duels_Won
Guido Carrillo,6.0,22.0,Centre-Forward,,0.0,,,,,,,,
Rodrigo Bentancur,6.0,21.7,Central Midfield,Rodrigo  Bentancur Colmán,0.8095238095238095,361807.0,Rodrigo  Bentancur Colmán,0.9936908517350158,2.413249211356467,0.7097791798107256,6.246056782334385,1.4195583596214512,1.7034700315457414
Manuel Akanji,5.0,21.5,Centre-Back,Manuel  Akanji,0.9629629629629629,297957.0,Manuel  Akanji,1.3432835820895523,2.20682302771855,2.6865671641791047,6.524520255863539,1.6311300639658848,2.302771855010661
Kingsley Coman,20.0,21.0,Left Winger,Kingsley  Coman,0.9655172413793104,231139.0,Kingsley  Coman,0.9083263246425568,0.5298570227081582,0.2270815811606392,7.569386038687973,0.9083263246425568,0.4541631623212784
Nikola Maksimovic,10.0,21.0,Centre-Back,,0.0,,,,,,,,
Dalbert,5.0,21.0,Left-Back,,0.0,,,,,,,,
Pietro Pellegri,8.0,20.9,Centre-Forward,,0.0,,,,,,,,
Jadon Sancho,5.0,20.59,Left Winger,Jadon  Sancho,0.96,447223.0,Jadon  Sancho,0.7468879668049793,0.2489626556016597,0.1244813278008298,6.597510373443983,1.3692946058091289,0.995850622406639
Adrien Silva,25.0,20.5,Central Midfield,,0.0,,,,,,,,
Roberto Gagliardini,15.0,20.5,Central Midfield,Roberto  Gagliardini,0.9743589743589743,241676.0,Roberto  Gagliardini,2.886548587841072,3.0157970320727623,0.7324078506462423,7.496409765438009,2.0248922929631403,1.5940641455241742
Andre Gray,10.0,20.4,Centre-Forward,Andre  Gray,0.9523809523809523,10663.0,Andre  Gray,0.9598494353826852,0.2258469259723965,0.0564617314930991,4.0087829360100375,1.5809284818067757,0.2258469259723965
Juan Cuadrado,25.0,20.0,Right Midfield,,0.0,,,,,,,,
Niklas Süle,25.0,20.0,Centre-Back,Niklas  Süle,0.9565217391304348,134383.0,Niklas  Süle,2.551898734177215,2.187341772151899,1.2759493670886075,5.058227848101266,1.549367088607595,1.640506329113924
Maximilian Philipp,15.0,20.0,Second Striker,Maximilian  Philipp,0.972972972972973,19392.0,Maximilian  Philipp,1.5993537964458804,0.0726978998384491,0.0726978998384491,4.5072697899838445,0.8723747980613893,1.235864297253635
Kevin Kampl,15.0,20.0,Central Midfield,Kevin  Kampl,0.9565217391304348,16110.0,Kevin  Kampl,0.5111216280170374,1.746332229058211,0.6389020350212967,7.027922385234264,0.8944628490298154,1.4055844770468529
Óliver Torres,14.0,20.0,Central Midfield,,0.0,,,,,,,,
Emerson Palmieri,14.0,20.0,Left-Back,,0.0,,,,,,,,
Lucas Biglia,20.0,19.7,Defensive Midfield,,0.0,,,,,,,,
Kevin Wimmer,7.0,19.4,Centre-Back,Kevin  Wimmer,0.96,65254.0,Kevin  Wimmer,1.3606911447084231,2.7861771058315337,3.1749460043196542,5.572354211663067,0.7775377969762419,1.5550755939524838
Nabil Bentaleb,18.0,19.0,Central Midfield,Nabil  Bentaleb,0.9655172413793104,144766.0,Nabil  Bentaleb,1.4502369668246446,2.729857819905213,1.5355450236966826,7.421800947867299,1.1090047393364928,1.8767772511848344
Lucas Alario,12.0,19.0,Centre-Forward,,0.0,,,,,,,,
Mateo Musacchio,18.0,18.0,Centre-Back,Mateo Pablo  Musacchio,0.8108108108108109,3526.0,Mateo Pablo  Musacchio,1.4893617021276595,2.3404255319148937,2.0567375886524824,5.815602836879433,1.2056737588652482,2.198581560283688
Wojciech Szczesny,17.0,18.0,Goalkeeper,Wojciech   Szczęsny,0.8888888888888888,7849.0,Wojciech   Szczęsny,0.1694915254237288,0.5084745762711864,0.2259887005649717,1.694915254237288,0.0564971751412429,0.0
Nicolas Pépé,3.0,18.0,Right Winger,Nicolas  Pépé,0.96,247671.0,Nicolas  Pépé,0.9205591544493692,0.3068530514831231,0.4295942720763723,5.216501875213092,1.3501534265257416,0.6750767132628708
Rúben Neves,10.0,17.9,Defensive Midfield,,0.0,,,,,,,,
Chicharito,18.0,17.8,Centre-Forward,,0.0,,,,,,,,
Panagiotis Retsos,5.0,17.5,Centre-Back,Panagiotis  Retsos,0.9714285714285714,344178.0,Panagiotis  Retsos,2.333709131905299,2.181510710259301,1.3697857948139798,6.899661781285231,1.1668545659526497,2.232243517474634
Mario Lemina,7.5,17.25,Defensive Midfield,Mario  Lemina,0.96,29640.0,Mario  Lemina,1.2,1.7,0.95,6.0,2.25,2.8
Britt Assombalonga,5.0,17.1,Centre-Forward,,0.0,,,,,,,,
Olivier Giroud,20.0,17.0,Centre-Forward,Olivier  Giroud,0.9655172413793104,26010.0,Olivier  Giroud,5.187557182067704,0.6587374199451053,0.3293687099725526,6.258005489478499,1.8115279048490396,0.7410795974382434
Matthias Ginter,15.0,17.0,Centre-Back,Matthias  Ginter,0.967741935483871,14991.0,Matthias  Ginter,2.643714466203411,1.3929248262792169,2.302590018951358,5.40113708149084,1.5066329753632344,1.1939355653821857
John Anthony Brooks,14.0,17.0,Centre-Back,John Anthony  Brooks,0.9743589743589743,18974.0,John Anthony  Brooks,1.9328859060402688,2.174496644295302,3.140939597315436,4.228187919463087,1.4496644295302012,1.691275167785235
Giovanni Simeone,10.0,17.0,Centre-Forward,Giovanni Pablo  Simeone,0.8205128205128205,269152.0,Giovanni Pablo  Simeone,1.184971098265896,0.2601156069364161,0.7225433526011561,3.757225433526012,1.3872832369942196,0.953757225433526
Jürgen Locadia,8.5,17.0,Centre-Forward,,0.0,,,,,,,,
Jhon Córdoba,7.0,17.0,Centre-Forward,,0.0,,,,,,,,
Ismaïla Sarr,2.5,17.0,Right Winger,Ismaïla  Sarr,0.96,448079.0,Ismaïla  Sarr,0.5633802816901409,0.2347417840375587,0.0469483568075117,4.131455399061033,1.1737089201877935,1.1267605633802815
Ross Barkley,25.0,16.8,Central Midfield,,0.0,,,,,,,,
Medhi Benatia,15.0,16.7,Centre-Back,,0.0,,,,,,,,
Marten de Roon,10.0,16.7,Defensive Midfield,Marten  de Roon,0.9655172413793104,625.0,Marten  de Roon,1.838781575037147,2.6077265973254087,0.7355126300148589,6.452451708766716,1.5044576523031203,2.072808320950966
Dani Ceballos,10.0,16.5,Central Midfield,,0.0,,,,,,,,
Chris Wood,6.0,16.4,Centre-Forward,Chris  Wood,0.9523809523809523,9206.0,Chris  Wood,4.411237298266587,0.2689778840406455,0.5917513448894202,5.164375373580395,2.5821876867901974,0.1075911536162582
Sam Clucas,2.5,16.3,Central Midfield,Sam  Clucas,0.9523809523809523,10252.0,Sam  Clucas,1.3092444861567338,1.689347724073205,0.7602064758329423,4.941342092914125,0.8024401689347724,1.0558423275457531
Simone Zaza,15.0,16.0,Centre-Forward,Simone  Zaza,0.9565217391304348,22202.0,Simone  Zaza,2.920723226703755,0.1668984700973574,0.8344923504867872,3.838664812239221,1.2934631432545205,0.4589707927677329
Yuri Berchiche,10.0,16.0,Left-Back,Yuri  Berchiche Izeta,0.8,4452.0,Yuri  Berchiche Izeta,1.88135593220339,2.1864406779661016,0.864406779661017,6.457627118644068,0.8135593220338984,1.576271186440678
Rick Karsdorp,9.0,16.0,Right-Back,,0.0,,,,,,,,
Wesley Hoedt,7.5,16.0,Centre-Back,Wesley  Hoedt,0.96,268776.0,Wesley  Hoedt,2.4829931972789114,2.5850340136054424,4.047619047619048,6.836734693877551,2.108843537414966,1.7687074829931972
Badou Ndiaye,7.0,16.0,Central Midfield,,0.0,,,,,,,,
Emanuel Mammana,7.0,16.0,Centre-Back,,0.0,,,,,,,,
Jean-Kévin Augustin,3.0,16.0,Centre-Forward,Jean-Kévin  Augustin,0.9743589743589743,279780.0,Jean-Kévin  Augustin,0.7650695517774343,0.4173106646058732,0.1391035548686244,3.2689335394126737,1.8778979907264295,0.4173106646058732
Alexander Sørloth,2.0,16.0,Centre-Forward,,0.0,,,,,,,,
Oliver Burke,7.0,15.2,Centre-Forward,Oliver  Burke,0.96,346071.0,Oliver  Burke,1.0869565217391304,0.8695652173913043,0.6521739130434783,6.521739130434782,0.8695652173913043,0.8695652173913043
Fernando Llorente,6.0,15.1,Centre-Forward,,0.0,,,,,,,,
Ricardo Rodríguez,17.0,15.0,Centre-Back,,0.0,,,,,,,,
Konstantinos Mitroglou,12.0,15.0,Centre-Forward,Konstantinos  Mitroglou,0.9777777777777777,93331.0,Konstantinos  Mitroglou,2.557377049180328,0.0983606557377049,0.1967213114754098,2.8524590163934427,0.7868852459016393,0.1967213114754098
Bruma,11.0,15.0,Left Winger,,0.0,,,,,,,,
Terence Kongolo,10.0,15.0,Centre-Back,Terence  Kongolo,0.967741935483871,132.0,Terence  Kongolo,2.697547683923706,2.4523160762942777,3.024523160762943,6.130790190735695,1.6348773841961852,2.20708446866485
Vicente Iborra,9.0,15.0,Defensive Midfield,,0.0,,,,,,,,
Sebastián Driussi,8.0,15.0,Attacking Midfield,,0.0,,,,,,,,
Gianluca Caprari,6.0,15.0,Second Striker,Gianluca  Caprari,0.9696969696969697,21376.0,Gianluca  Caprari,0.3343949044585987,0.4299363057324841,0.0477707006369426,5.636942675159236,1.0509554140127388,0.7165605095541401
José Izquierdo,14.0,14.5,Left Winger,,0.0,,,,,,,,
Cengiz Ünder,5.0,14.25,Right Winger,Cengiz  Ünder,0.96,350032.0,Cengiz  Ünder,0.2764976958525346,0.4147465437788018,0.2764976958525346,7.741935483870968,0.8294930875576036,0.5529953917050692
Francis Coquelin,12.0,14.0,Defensive Midfield,Francis  Coquelin,0.9696969696969697,7864.0,Francis  Coquelin,3.008720930232558,2.616279069767442,1.308139534883721,4.840116279069767,1.438953488372093,1.569767441860465
Ignacio Camacho,10.0,14.0,Defensive Midfield,,0.0,,,,,,,,
